iter	RMSE
0	5.035900926
1	5.021977207
2	5.005896562
3	4.992388546
4	4.980949633
5	4.970092172
6	4.959057569
7	4.952100226
8	4.938233661
9	4.920701637
10	4.906619606
11	4.894254249
12	4.885472727
13	4.871930862
14	4.865354688
15	4.854322987
16	4.837837286
17	4.834605591
18	4.823766205
19	4.811117703
20	4.799522112
21	4.786444804
22	4.769083263
23	4.756758471
24	4.74341752
25	4.736274654
26	4.729473931
27	4.717870509
28	4.706386596
29	4.693405491
30	4.677936731
31	4.664996232
32	4.656924556
33	4.647169837
34	4.64124732
35	4.631418787
36	4.617019024
37	4.608264582
38	4.594828197
39	4.585519773
40	4.581353652
41	4.573814819
42	4.562276243
43	4.551809905
44	4.544300374
45	4.535457007
46	4.520756823
47	4.507095393
48	4.491432043
49	4.482525671
50	4.47567436
51	4.467095676
52	4.456545681
53	4.444394537
54	4.433026815
55	4.418488597
56	4.405174887
57	4.397498618
58	4.38572024
59	4.378222558
60	4.369830116
61	4.361922153
62	4.354981827
63	4.343605037
64	4.334318737
65	4.32748505
66	4.319774135
67	4.310486728
68	4.297424606
69	4.287048132
70	4.279262634
71	4.267851091
72	4.254870492
73	4.247754669
74	4.234375823
75	4.224151686
76	4.217830566
77	4.209913468
78	4.20517679
79	4.199678167
80	4.189313713
81	4.175450777
82	4.170133123
83	4.159000629
84	4.152881768
85	4.145876677
86	4.138598288
87	4.128618723
88	4.123496192
89	4.112162573
90	4.103447628
91	4.098216433
92	4.094376609
93	4.087530426
94	4.077309582
95	4.068575082
96	4.061965338
97	4.057068287
98	4.045927634
99	4.034860002
100	4.024400336
101	4.015691483
102	4.008086713
103	3.9963507
104	3.993796019
105	3.983487096
106	3.974588982
107	3.968633915
108	3.957268972
109	3.945159934
110	3.939078254
111	3.93376397
112	3.928241051
113	3.917270543
114	3.911520264
115	3.900081298
116	3.893583732
117	3.888404641
118	3.880566395
119	3.870934881
120	3.867079883
121	3.858515495
122	3.853147377
123	3.841753039
124	3.835896257
125	3.82473038
126	3.819031364
127	3.806788669
128	3.801256042
129	3.78958621
130	3.784900436
131	3.774644494
132	3.769550483
133	3.764899951
134	3.761039238
135	3.756211481
136	3.749387431
137	3.739909839
138	3.736350686
139	3.728487278
140	3.724297088
141	3.718364518
142	3.71382828
143	3.708409595
144	3.699800224
145	3.69127546
146	3.685625245
147	3.681966589
148	3.674837458
149	3.671486407
150	3.667248746
151	3.660869431
152	3.6527394
153	3.643963653
154	3.633791137
155	3.624720291
156	3.614722013
157	3.60866269
158	3.603753474
159	3.602694763
160	3.593483773
161	3.587985765
162	3.584725972
163	3.581620939
164	3.5746724
165	3.573257192
166	3.563248493
167	3.560705923
168	3.555972663
169	3.552503771
170	3.549157396
171	3.539677362
172	3.535286905
173	3.52994609
174	3.524061617
175	3.518850819
176	3.513079575
177	3.509173393
178	3.505103348
179	3.495938394
180	3.490628075
181	3.48312015
182	3.481849383
183	3.478889303
184	3.470172705
185	3.467236969
186	3.464367877
187	3.455927447
188	3.447963371
189	3.440010819
190	3.432165608
191	3.424337656
192	3.419965904
193	3.415087849
194	3.407320905
195	3.404269083
196	3.394919676
197	3.390629907
198	3.383134932
199	3.376757975
200	3.367447563
201	3.362491
202	3.356868711
203	3.348704839
204	3.34167672
205	3.337324693
206	3.329036739
207	3.319856194
208	3.311253388
209	3.307298124
210	3.303175964
211	3.298586749
212	3.290399736
213	3.282739285
214	3.275040824
215	3.271403315
216	3.263892787
217	3.260361066
218	3.257102455
219	3.253225426
