iter	Passed	Remaining
0	0	190
1	1	167
2	2	153
3	2	147
4	3	143
5	3	138
6	4	134
7	4	131
8	5	129
9	6	129
10	6	127
11	7	125
12	7	123
13	8	121
14	8	116
15	8	113
16	9	113
17	9	108
18	10	108
19	11	111
20	11	111
21	12	110
22	12	110
23	13	110
24	14	109
25	14	109
26	15	108
27	15	107
28	16	106
29	16	106
30	17	106
31	17	105
32	18	105
33	19	105
34	19	105
35	20	105
36	21	104
37	21	102
38	22	103
39	22	103
40	23	101
41	24	102
42	24	101
43	25	101
44	25	100
45	26	100
46	27	99
47	27	99
48	28	98
49	28	97
50	29	97
51	29	96
52	30	96
53	31	95
54	31	95
55	32	94
56	32	94
57	33	93
58	34	92
59	34	92
60	35	91
61	35	91
62	36	90
63	36	90
64	37	89
65	38	89
66	38	88
67	39	88
68	40	87
69	40	87
70	41	86
71	41	86
72	42	85
73	43	84
74	43	84
75	44	83
76	44	83
77	45	82
78	45	82
79	46	81
80	46	80
81	47	79
82	47	79
83	48	78
84	49	77
85	49	77
86	50	76
87	50	76
88	51	75
89	52	75
90	52	74
91	53	74
92	54	73
93	54	73
94	55	72
95	55	72
96	56	71
97	56	70
98	57	70
99	58	69
100	58	69
101	59	68
102	59	67
103	60	67
104	60	66
105	60	65
106	61	64
107	61	64
108	62	63
109	62	62
110	63	62
111	63	61
112	64	61
113	65	60
114	65	60
115	66	59
116	67	59
117	67	58
118	68	57
119	68	57
120	69	56
121	69	55
122	70	55
123	70	54
124	71	54
125	71	53
126	72	53
127	72	52
128	73	51
129	74	51
130	74	50
131	75	50
132	75	49
133	76	48
134	76	48
135	77	47
136	77	47
137	78	46
138	79	46
139	79	45
140	80	45
141	81	44
142	81	44
143	82	43
144	83	43
145	83	42
146	84	41
147	84	41
148	85	40
149	86	40
150	86	39
151	87	39
152	87	38
153	88	37
154	88	37
155	89	36
156	90	36
157	90	35
158	91	34
159	91	34
160	91	33
161	92	33
162	92	32
163	93	31
164	94	31
165	94	30
166	95	30
167	95	29
168	96	29
169	96	28
170	97	27
171	97	27
172	98	26
173	99	26
174	99	25
175	100	25
176	100	24
177	101	23
178	101	23
179	102	22
180	103	22
181	103	21
182	104	21
183	104	20
184	105	19
185	105	19
186	106	18
187	107	18
188	107	17
189	108	17
190	109	16
191	109	16
192	110	15
193	110	14
194	111	14
195	112	13
196	112	13
197	113	12
198	113	12
199	114	11
200	114	10
201	115	10
202	115	9
203	116	9
204	117	8
205	117	7
206	118	7
207	118	6
208	119	6
209	119	5
210	120	5
211	120	4
212	121	3
213	121	3
214	122	2
215	123	2
216	123	1
217	124	1
218	124	0
219	125	0
